zm	PCA 1	PCA 2
other_signal	-2.632139301	-1.286809646
other_signal	-2.632139301	-1.286809646
other_signal	-2.684245112	-0.965359072
other_signal	-2.111673156	-2.190222945
other_signal	-2.111673156	-2.190222945
other_signal	-2.174820176	-0.025298679
other_signal	-2.078017856	0.127707172
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.845412568	0.110251078
other_signal	-2.632636132	-3.237881019
other_signal	-2.918263433	-0.882466555
other_signal	-2.596699907	-0.791644588
other_signal	-0.744661038	-0.584552112
other_signal	-2.334380337	-1.137114972
other_signal	-3.295102436	-2.791951276
other_signal	-2.102695647	-1.826246367
other_signal	-1.928654388	-0.007189072
other_signal	-1.897814201	-4.145190084
other_signal	-1.771286711	-3.168090883
other_signal	-2.130467692	-1.726803383
other_signal	-2.505421148	-0.455102927
other_signal	-1.687453666	-2.328136734
other_signal	-1.107126156	2.98315528
other_signal	-1.686215185	2.258887563
other_signal	-2.122004914	-2.543825583
other_signal	-1.682104446	1.407358901
other_signal	-2.12120815	0.788727507
other_signal	-1.180023562	2.730751574
other_signal	-0.927764235	2.358467683
other_signal	-0.892814781	1.355370764
other_signal	-1.360220775	0.893047629
other_signal	-0.892814781	1.355370764
other_signal	-0.963124074	1.159341533
other_signal	-0.885118792	1.468114261
other_signal	-0.892814781	1.355370764
other_signal	-0.768867872	1.461046134
other_signal	-0.77401141	1.268189895
other_signal	-0.892814781	1.355370764
other_signal	-0.768867872	1.461046134
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.949730927	1.409145664
other_signal	-0.892814781	1.355370764
other_signal	-0.897958319	1.162514526
other_signal	-0.892814781	1.355370764
other_signal	-0.768867872	1.461046134
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.699130803	1.715376347
other_signal	-0.699130803	1.715376347
other_signal	-0.892814781	1.355370764
other_signal	-1.009065701	1.362438892
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-1.086498759	0.995365182
other_signal	-1.093115868	0.986076342
other_signal	-0.976610454	1.445509378
other_signal	-1.093115868	0.986076342
other_signal	-0.976610454	1.445509378
other_signal	-0.897958319	1.162514526
other_signal	-1.170294432	1.085503796
other_signal	-0.897958319	1.162514526
other_signal	-0.976610454	1.445509378
other_signal	-0.96255185	1.101040551
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.897958319	1.162514526
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-1.028064827	1.323894243
other_signal	-0.776309367	1.8148038
other_signal	-1.756932316	1.418238299
other_signal	-0.892814781	1.355370764
other_signal	-0.892814781	1.355370764
other_signal	-0.776309367	1.8148038
other_signal	-1.319046075	1.045264
other_signal	-1.014209239	1.169582653
other_signal	-1.065981847	1.416213791
other_signal	-1.288203173	0.575301997
other_signal	-0.768867872	1.461046134
other_signal	-0.949730927	1.409145664
other_signal	-1.288203173	0.575301997
other_signal	-0.316432643	1.679110712
other_signal	-0.981753993	1.25265314
other_signal	-0.316432643	1.679110712
other_signal	-2.082524555	-1.289479114
other_signal	-2.557764696	-0.345172617
other_signal	-2.709474289	-0.656563836
other_signal	-1.568412767	2.439231455
other_signal	-1.385804412	2.075788685
other_signal	-2.160207185	-0.843271707
other_signal	-2.516276665	-2.259717842
other_signal	-2.410029988	-1.502850835
other_signal	-1.576654965	3.867037149
other_signal	-2.342072163	0.327076302
other_signal	-2.602175965	-0.968011504
other_signal	-2.292044588	-0.664543135
other_signal	-2.655570254	-0.875554311
other_signal	-2.235723988	-1.701131384
other_signal	-0.812386457	-2.027329643
other_signal	-2.703222643	-0.485578079
other_signal	-1.056547408	-2.047593133
other_signal	-2.042633579	-0.732130688
other_signal	-2.4178627	0.720343016
other_signal	-1.533356689	1.595556462
other_signal	-2.490436642	3.319831146
other_signal	-3.355933699	1.095020577
other_signal	-2.246376014	-0.40417684
other_signal	-2.246376014	-0.40417684
other_signal	-2.28370199	0.239829213
other_signal	-1.326199177	-0.679981491
other_signal	-2.148552738	-0.593359976
other_signal	-0.936661243	-0.593738325
other_signal	-1.699687431	-0.644409061
other_signal	-2.135969475	1.834145547
other_signal	-1.294881842	-0.335078378
other_signal	-2.017867691	-3.317584355
other_signal	-1.569387307	-5.23931402
other_signal	-0.862394864	-0.071802294
other_signal	-2.161790167	-2.591212141
other_signal	-1.621884172	-0.225435483
other_signal	-1.203009145	-0.566048413
other_signal	-1.959905806	-0.838926729
other_signal	-0.74257677	-0.138048033
other_signal	-2.55619027	1.711996833
other_signal	-0.50655357	2.532584654
other_signal	-3.877477471	-0.101675408
other_signal	-0.892793728	0.321667511
other_signal	-3.049059685	-2.279887615
other_signal	-0.747280177	0.682174852
